古代帝王的女婿，也就是公主的丈夫通常被称为什么爷	驸马爷
著名的贤后长孙皇后是唐朝哪位皇帝的皇后	长孙皇后!她是历史的贤后之一,她是唐太宗李世民的皇后!我本人也很敬重她! 长孙皇后(600—636),长安人,祖先为北魏拓
在江苏卫视热播《活佛济公三》中饰演广亮大师的是谁	林子聪
美人鱼雕像在丹麦的哪个城市	哥本哈根
琼瑶小说《还珠格格》的故事发生在哪位皇帝执政时期	乾隆
2012年与梁振英共同竞选香港特首失败的是哪位官员	唐英年
通常电脑上面的“delete键”有什么作用	1.删除 2,word编辑时能删除光标后的字符,backspace退格键删除光标前字符 3.开机时按del键某些电脑可以进入bios设置电脑开机读取等主板信息
“两河流域”是指底格里斯河和什么河	幼发拉底河
歌曲《那女孩对我说》的原唱是哪位歌手	黄义达
树林在日照下主要释放的是哪种气体	氧气
世界最深的洼地在哪里	死海是世界最深的洼地,水面平均低于海平面约米,位于以色列和约旦之间,是一个内陆盐湖,它的最低海拔是-米
比喻处理问题不从全局考虑的成语“头痛医头”的下半句	脚痛医脚
“闯关东”是过去社会的一种习俗，那么“关”指的是什么关	“关”指的是 山海关
朝鲜现任领导人金正恩的妻子叫什么名字	李雪主
上海、宁波、义务方言中的“阿拉”是指什么	我(我们)
《天仙配》是我国安徽地区哪个剧种的代表性选段	 黄梅戏
世界上最后进入元旦的国家	世界上最后进入元旦的是位于日界线东侧的萨摩亚群岛，他和最先进入元旦的汤加（位于日界线西侧）相比晚了整整一天
以热情，爆发力著称的弗拉明戈舞成型于哪个欧洲国家	西班牙
《封神演义》中，周文王是在哪条河边上碰到了钓鱼的姜太公	周文王姬昌 姜太公又称姜尚,字子牙,东海上人
夏季奥运会开幕式代表团永远第一个入场的是哪个国家	希腊
什么体育比赛第一次是在1903年开始的	美国职棒大联盟(MajorLeagueBaseball,简称MLB),是美国最著名的职业棒球联赛
俗话说“踏破铁鞋无觅处”的下一句是什么	得来全不费工夫
美籍华裔歌手李玟《想你的365天》曾作为中国哪部经典动画电影中的插曲	《宝莲灯》 的插曲
顾秉林是哪个大学的校长	　　许智宏:北大校长,男,汉族,1942年10月出生,江苏.无锡人,1965年9月参加工作,1976年2月入党,研究生学历
CBA历史上获得总冠军次数最多的是哪支球队	八
中国古代哪位曾被称为“药王”	孙思邈
计算机学报的简写是什么	IT是信息技术的简称,Information Technology,指与信息相关的技术.IA是Information Appliance的缩写.什么是信息家电呢?简单来说,信息家电是指各种具有连接国际
在陈凯歌电影《无极》中饰演“昆仑”的是韩国哪位男明星	张东健
昆明湖和万寿山在哪个著名景点里	颐和园
《明朝那些事》原书作者是谁	石悦
哪位唐朝着有《使至塞上》的“山水田园派”代表诗人因为精通佛法被后世称为“诗佛”	王维(701年-761年),字摩诘,汉族,祖籍山西祁县,唐朝诗人,外号“诗佛”
《山居笔记》是我国哪位现代作家的散文集	余秋雨
曹操“挟天子以令诸侯”中的“天子”指的是汉朝的哪位皇帝	汉献帝
新年元旦在几月份	农历新年的第一天.就是现在的春节 元旦的由来之一 每年公历的1月1日，人们称它为"元旦"，这是为什么呢? 原来在汉语里，"元"是开始，也就是第一;"
新婚吉庆时，通常会在新房贴上哪个字来讨好彩头	喜(双喜) 讨好彩头
雨果小说《巴黎圣母院》中的男主角，钟楼怪人的名字叫什么	院门前的畸形儿,被称为长相丑陋又聋的钟楼怪人
位于美国和加拿大交界处的世界上最大瀑布之一的瀑布叫什么	尼亚加拉
歌曲《海芋恋》《王子的新衣》的原唱者是哪位台湾著名男歌手	萧敬腾
演唱了《乡恋》《难忘今宵》的著名歌唱艺术家是谁	李谷
中国最早的敞肩拱桥的桥名是什么	第二个是赵州桥,第三个是长江大桥
意大利的旅行家马可·波罗在元朝哪个皇帝在位时来中国	忽必烈 .... 忽必烈
北京奥运会开幕式倒计时中由2008个人击打的乐器叫什么	击打的乐器 缶
什么食物不容易煮熟	你快对了.水的沸点低,假设80摄氏度水就开了,然后水加热食物,比标准气压的水100摄氏度,煮东西就难熟了
汉高祖刘邦曾在秦朝时于沛县泗水郡担任什么职务	 ——
我们通常以哪条运河作为南美洲与北美洲的分界线	巴拿马运河
龚自珍《已亥杂诗》中，“落红不是无情物”的下一句是什么	落红,本指脱离花枝的花,但是,并不是没有感情的东西,即使化做春泥,也甘愿培育美丽的春花成长.在这并不特指某一种花~而是概称
我国第一座完全由中国自行设计和施工的长江大桥建于哪个城市	南京
著名的贞观之治发生在哪个朝代	唐朝
NBA华盛顿奇才队在2010年选中的状元叫什么名字	约翰沃尔 ,华盛顿奇才
我国第一部水文地理专著是什么	我国第一部水文地理专著是:水经注
在象棋棋盘中间有四个字分别是“楚河”和什么	(1)刘邦、项羽的军事分界线
近期上映的东方魔幻爱情电影《画皮2》是由哪位导演指导的	 乌尔善 第十轮 李洋PK李志芳
ibm的全称是什么	IBM(International Business Machines Corporation),国际商业机器公司,或万国商业机器公司的简称
可以做净水剂的铝盐是什么	铝盐水解产生氢氧化铝胶体,胶体有净水的能力而直接得到的氢氧化铝颗粒比较大,不具备胶体的特点(1~100nm),不具备净水能力,就是一种沉
曾被网友称为“校园文学第一奇书”的《草样年华》的作者是谁	?孙睿
世界上最长的河是什么河	尼羅河是上源的白、青??l尼羅河在蘇丹首都喀土穆?R合後的正式稱
有“音乐之都”美誉的维也纳是哪个国家的首都	奥地利
男人的生育年龄段是多少	70
清华的校址是多少	重庆市渝北区回兴工业园区
单一民族国家有哪些	一楼的都错了 只有韩国，人口大约4000多万，其次是朝鲜有2000多万人口，他们都是朝鲜族
我们平时所说的“中传”是我国那个信息传播的最高学府简称	中国传媒大学
被称为世界五大宫殿之一的凡尔赛宫曾是哪个欧洲国家的王宫	被称为世界五大宫殿之一的凡尔赛宫曾是哪个欧洲国家的王宫? 法国
机器猫哆啦A梦是大雄的哪位亲属派过来保护他的	大雄的孙子
火箭队队员麦迪近期和CBA哪支球队签约	青岛队
常言道“师傅领进门”的下一句是什么	修行靠个人
由张之洞创办的我国最早的官司办钢铁企业叫什么	汉阳钢铁
代表作有《那片海》《天亮了》我国内地实力派女歌手是谁	女歌手 韩红
矿泉水和果汁哪个容易结冰	假设矿泉水容易结冰, 所需器材,量杯,矿泉水,果汁,烧杯,停表
“左三圈右三圈脖子扭扭屁股扭扭”是范晓萱的什么歌	健康
历史上说的“江郎才尽”中，“江郎”叫什么	江淹
我们用三只脚的什么动物来形容那些技艺上略知皮毛而不甚精通的人	猫
“非洲屋脊”是哪个国家的别称	埃塞俄比亚 埃塞俄比亚位于非洲东部,地处红海西南的东非高原上,为内陆国家
《三国演义》里因其捉曹操又放曹操，并又与曹操一起逃亡的是哪位谋士	陈宫 陈宫
贾平凹最著名的描写当代知识分子生活的世情小说叫什么	废都哦
哪位日本作家以《国学》《古都》《千纸鹤》三部代表作，获得诺贝尔文学奖	(1)川端康成(2)警世通言(3)出师一表真名世　千载谁堪伯仲间　出师未捷身先死　长使英雄泪满
被看作西藏人的护卫犬和保护神，并有东方神犬称号的是什么	称号的是 藏獒
Windows操作系统的几个版本分别于哪年发行	1985年Windows 1.0正式推出
为什么太阳看上去是黄色的	大气中的尘埃会散射短波的光,就是蓝紫光(天空看起来是蓝的就是这个原因),这样太阳光中的蓝紫光就少了,因此看来是偏黄色的
相传镇压白娘子的雷峰塔位于哪个城市	雷峰塔在杭州
人体缺少哪种微量元素会导致骨质酥松	解答:解:钙能使骨骼和牙齿具有坚硬的结构支架,缺钙会得骨质疏松、佝偻病和发育不良.故选A
“百老汇”是什么建筑的名字	"百老汇"是一条街的名字
一款得名于关羽在赤壁之战后放走曹操的地名的益智游戏叫什么	华容道 华容道
我国国酒茅台酒出于哪个省份	贵州
汉朝存在的时间范围是多少	秦朝
俄国作家果戈里在名著《死魂灵》中塑造的经典吝啬鬼人物，叫什么名字	泼留希金
绿茶精品“碧螺春”原产自江苏哪个城市	苏州
1713年，清朝哪位皇帝封五世班禅为“班禅额尔德尼”	康熙
中国股票市场用红色表示涨，用什么颜色表示跌	中国股票市场用红色表示涨,用绿色表示
“辛酉政变”是发生在当时那位清朝皇帝逝世后的宫廷政变	咸丰
在《铁齿铜牙纪晓岚》中将和珅演的惟妙惟肖的是哪位演员	王刚 王刚
在五行相生中，水生什么	五行相生: 金生水,水生木,木生火,火生土,土生金
金庸小说《天龙八部》中人称“大轮明王”的吐蕃国国师的名字是	鸠摩智
有“高原之舟”之称，生活在海拔最高处的哺乳动物是什么牛	哺乳动物是牦牛
最近有什么连续剧好看	神医信义,拥抱太阳的月亮都不错
歌手玛当娜的真名是什么	关·史蒂芬妮(Gwen Stefani)
我国的第一部诗歌总集是	诗经是我国的第一步诗歌总集
三国时期，以少胜多的大型战役有官渡之战，赤壁之战和什么战役	夷陵之战
草原在哪座山旁边	去长白山天池
谷氨酸钠是我们常用的哪种调味品的主要成分	味精的主要成分
JOLIN是哪位台湾著名女歌手的英文名	蔡依林 蔡依林
“子美”是哪位唐朝大诗人的字	 郭松林字子美,何绍基以此送他十个字:古今三子美,前后两汾阳.上联叩"子美".唐诗人杜甫字子美,宋诗人苏舜钦字子美,与他合为三子美
庄子的《秋水》里传说中的黄河之神叫什么	河伯
于谦诗歌《石灰吟》中，“千锤万凿出深山”的下一句是	烈火焚烧若等闲
被誉为“红军”的是哪一支英超俱乐部	利物浦
俄罗斯名城“斯大林格勒”现在叫什么名字	伏尔加格勒
“池塘边的榕树上，知了在声声叫着夏天”是罗大佑的哪首经典歌曲	《童年》
沟通大西洋与地中海的海峡是什么海峡	直布罗陀海峡Strait of Gibralter
“傅文佩你别躲在里面不出声我知道你在家”是琼瑶哪部剧中雪姨的台词	情
奥林匹克运动会发源地在哪里	希腊雅典
法国作家儒勒.凡尔纳被称为什么	儒勒·凡尔纳（Jules Verne，1828年-1905年），法国小说家，科幻小说的开创者之
1869年，俄国的科学家门捷列夫发明了哪个揭示物质特性的列表	元素周期表
香水擦在什么部位最动人	香水不能直接喷在衣服上，而应该直接喷在身体上
洋快餐麦当劳的招牌是一个什么英文字母	M
2010年12月起，儿童身高在多少以下火车票免票	1
石油的用途是什么	石油又称原油,是从地下深处开采的棕黑色可燃粘稠液体
俗话说“一夫当关”，下一句是什么	万夫莫
英文单词“us”是哪个单词的宾格	we
单词“have”的第三人称单数形式是哪个英文单词	go 的第三人称是goeswalk的第三人称是walkshave的第三人称是has
演艺圈夫妻成龙和林凤娇的儿子叫什么	房租名
20世纪90年代流行歌曲《纤夫的爱》由于文华和哪位男歌手搭档演唱	尹相杰
疏伐的行距以面积多少乘多少最好	1
《红楼梦》中，为贾宝玉病补雀金裘的是他的哪位丫鬟	晴雯 晴雯 晴雯
作品有《大阪城的姑娘》等作品，被称为“西部歌王”的音乐家是哪位	王洛宾
腐败的拼音缩写是什么	腐败的简称.呵呵....吃喝玩乐的代名词. “FB(腐败)”是网上常见的一个专用词
美国国会实行两院制，一个是参议院，另外一个是	众议院
新浪网的标志是以哪个五官部位为原型的	眼睛
曾单人《浮沉》、《沉默的证人》、《人证》男主角的我国内地著名影星是谁	王志飞
龙门石窟在哪个省	河南
被俄罗斯人民称为“母亲河”的是哪条河流	伏尔加河
出自王勃的诗句“落霞与孤鹜齐飞”的下一句是	,巧化成句,别出新意
“身在曹营，心在汉”说的是三国时期哪位著名武将	关羽
